date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:15	4419/4419	---M--	200	added ('OK')	image/png	etag:%221568fc9a5ccd5e0e5d3261b9493edc2c%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/690521077a4dbcce40866f20_webflow-logo.png	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/690521077a4dbcce40866f20_webflow-logo.png	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:16	4549/4549	---M--	200	added ('OK')	image/png	etag:%220bc7b4a13a120b870c45369dd88e5bd5%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/690521077a4dbcce40866f1d_customize-your-webflow-template-brix-templates.png	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/690521077a4dbcce40866f1d_customize-your-webflow-template-brix-templates.png	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:16	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=68a342b7066c56fa60eb3af1	C:/Users/PC/Desktop/website/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c88014.js	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:17	346806/346806	---MCZ	200	added ('OK')	text/javascript	etag:W/%22cb06e024360e96e40ecf8afff9cae403%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.schunk.e0c428ff9737f919.js	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.schunk.e0c428ff9737f919.js	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:18	225048/225048	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e9595c638f7b3adcff845b933ab02c62%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.schunk.85a2021882e7f196.js	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.schunk.85a2021882e7f196.js	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:18	506331/506331	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a5af356f0587a8ce9a1fee7bcb6560cb%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.2d208046.d659259bff6efdc7.js	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.2d208046.d659259bff6efdc7.js	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:18	72779/72779	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b729ff7f59f3391835501f2900ecd857%22	https://cdn.prod.website-files.com/gsap/3.14.2/gsap.min.js	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/gsap/3.14.2/gsap.min.js	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:19	9991/9991	---MCZ	200	added ('OK')	text/javascript	etag:W/%227ba8ba18cda278091e7721970d53be31%22	https://cdn.prod.website-files.com/gsap/3.14.2/Observer.min.js	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/gsap/3.14.2/Observer.min.js	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:19	44235/44235	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f20e9ed82d62642f71c10eda4514d3bf%22	https://cdn.prod.website-files.com/gsap/3.14.2/ScrollTrigger.min.js	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/gsap/3.14.2/ScrollTrigger.min.js	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:19	7779/7779	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a61f7fd0a07a32200e8f11528d15d77f%22	https://cdn.prod.website-files.com/gsap/3.14.2/SplitText.min.js	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/gsap/3.14.2/SplitText.min.js	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:20	11370/11370	---M--	200	added ('OK')	image/jpeg	etag:%22caa2a54ae951b2f9c4943ea395f51cbf%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/68c0a4664661623f128973a8_sophie-moore-avatar-quantum-webflow-template.jpg	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/68c0a4664661623f128973a8_sophie-moore-avatar-quantum-webflow-template.jpg	(from /pages/careers.html)
10:27:20	10530/10530	---M--	200	added ('OK')	image/jpeg	etag:%225a7d5178daf6870b1f5e7941896447eb%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/68c0a46663251d3af785ce3b_lilly-woods-avatar-quantum-webflow-template.jpg	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/68c0a46663251d3af785ce3b_lilly-woods-avatar-quantum-webflow-template.jpg	(from /pages/careers.html)
10:27:20	12222/12222	---M--	200	added ('OK')	image/jpeg	etag:%22c8d2964fe593d5fee0e78bbf0ce9bd48%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/68c0a466c1ed01739b8b49d7_matt-cannon-avatar-quantum-webflow-template.jpg	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/68c0a466c1ed01739b8b49d7_matt-cannon-avatar-quantum-webflow-template.jpg	(from /pages/careers.html)
